State,County2,FIPS
Virginia,Charles City County,51036
Texas,McMullen County,48311
Texas,Terrell County,48443
Alaska,Skagway Municipality,2230
Georgia,Baker County,13007
Kansas,Geary County,20061
Colorado,Hinsdale County,8053
Texas,Cochran County,48079
Texas,Armstrong County,48011
Texas,Delta County,48119
Texas,Borden County,48033
North Dakota,Divide County,38023
Oklahoma,Harmon County,40057
North Carolina,Tyrrell County,37177
Virginia,Mathews County,51115
Oregon,Sherman County,41055
South Dakota,Jones County,46075
Virginia,Williamsburg city,51830
Virginia,Nelson County,51125
North Dakota,Slope County,38087
Texas,Culberson County,48109
Texas,Motley County,48345
Nebraska,Stanton County,31167
Maryland,Kent County,24029
Georgia,Taliaferro County,13265
Georgia,Webster County,13307
Georgia,Long County,13183
Virginia,King and Queen County,51097
Michigan,Lake County,26085
Kansas,Woodson County,20207
Texas,Coke County,48081
Texas,Kenedy County,48261
Nebraska,Loup County,31115
Texas,King County,48269
Texas,Fisher County,48151
Massachusetts,Nantucket County,25019
Montana,Prairie County,30079
Virginia,Northumberland County,51133
Colorado,Mineral County,8079
Virginia,Winchester city,51840
Wisconsin,Adams County,55001
Texas,Childress County,48075
Virginia,Emporia city,51595
Virginia,Norton city,51720
Montana,Meagher County,30059
Missouri,Schuyler County,29197
Colorado,Gilpin County,8047
Oklahoma,Cotton County,40033
Nebraska,Garden County,31069
North Carolina,Pamlico County,37137
Colorado,Jackson County,8057
Virginia,Westmoreland County,51193
North Carolina,Jones County,37103
Virginia,King George County,51099
Montana,Broadwater County,30007
Virginia,Middlesex County,51119
North Dakota,Grant County,38037
Texas,Franklin County,48159
Virginia,Radford city,51750
Georgia,Talbot County,13263
Virginia,Fredericksburg city,51630
Georgia,Chattahoochee County,13053
Virginia,Amelia County,51007
North Carolina,Hyde County,37095
Nebraska,Blaine County,31009
Montana,Treasure County,30103
North Dakota,Towner County,38095
Virginia,Clarke County,51043
New Mexico,De Baca County,35011
Virginia,Lunenburg County,51111
Alaska,Petersburg Borough,2195
Oklahoma,Kiowa County,40075
Kentucky,Hickman County,21105
Nevada,Eureka County,32011
Alaska,Denali Borough,2068
South Dakota,Sully County,46119
Kansas,Jackson County,20085
Pennsylvania,Sullivan County,42113
Washington,Wahkiakum County,53069
Kansas,Hodgeman County,20083
Texas,Shackelford County,48417
Virginia,Surry County,51181
Texas,Rains County,48379
Arkansas,Lincoln County,5079
Kentucky,Robertson County,21201
Georgia,Clinch County,13065
Georgia,Oglethorpe County,13221
Texas,Red River County,48387
Montana,Daniels County,30019
Texas,Donley County,48129
Virginia,Goochland County,51075
North Carolina,Gates County,37073
Kansas,Graham County,20065
Texas,Wilbarger County,48487
Georgia,Schley County,13249
Colorado,Costilla County,8023
Texas,Madison County,48313
Georgia,Pulaski County,13235
Texas,Edwards County,48137
Texas,Kent County,48263
Texas,Roberts County,48393
Texas,Foard County,48155
Texas,Cottle County,48101
Texas,Glasscock County,48173
Georgia,Montgomery County,13209
Kansas,Chautauqua County,20019
Georgia,Treutlen County,13283
Texas,Morris County,48343
Kansas,Jewell County,20089
Georgia,Marion County,13197
North Dakota,Foster County,38031
Nebraska,Dundy County,31057
Georgia,Morgan County,13211
Georgia,Seminole County,13253
Texas,Irion County,48235
Wisconsin,Florence County,55037
Georgia,Echols County,13101
Kansas,Greeley County,20071
Colorado,Crowley County,8025
North Dakota,Sheridan County,38083
Tennessee,Lake County,47095
Nebraska,Hayes County,31085
Texas,Sterling County,48431
Nebraska,Logan County,31113
North Dakota,Golden Valley County,38033
Georgia,Bacon County,13005
Iowa,Adams County,19003
Michigan,Ontonagon County,26131
Kansas,Edwards County,20047
North Dakota,Eddy County,38027
Georgia,Quitman County,13239
Texas,Stonewall County,48433
Texas,Collingsworth County,48087
South Dakota,Campbell County,46021
Michigan,Alcona County,26001
Virginia,Louisa County,51109
Texas,Real County,48385
Tennessee,Trousdale County,47169
Texas,Jeff Davis County,48243
Texas,Throckmorton County,48447
North Dakota,Adams County,38001
Virginia,Waynesboro city,51820
Arkansas,Lafayette County,5073
Wisconsin,Iron County,55051
Oklahoma,Ellis County,40045
Massachusetts,Dukes County,25007
Texas,Haskell County,48207
Kansas,Stanton County,20187
Kansas,Elk County,20049
Virginia,Lexington city,51678
Texas,Menard County,48327
Kansas,Rawlins County,20153
Georgia,Lanier County,13173
Arkansas,Little River County,5081
Georgia,McIntosh County,13191
Nebraska,Rock County,31149
Nebraska,Gosper County,31073
Georgia,Clay County,13061
Kansas,Russell County,20167
Texas,Camp County,48063
North Dakota,Kidder County,38043
North Dakota,Oliver County,38065
North Carolina,Camden County,37029
Virginia,Rockbridge County,51163
Colorado,Dolores County,8033
Kansas,Scott County,20171
Kansas,Decatur County,20039
Georgia,Glascock County,13125
Oklahoma,Woods County,40151
Montana,Petroleum County,30069
Texas,Hardeman County,48197
Nebraska,Perkins County,31135
Georgia,Greene County,13133
Idaho,Camas County,16025
Idaho,Lewis County,16061
North Dakota,Billings County,38007
Virginia,Caroline County,51033
Virginia,Falls Church city,51610
Kansas,Bourbon County,20011
Virginia,Appomattox County,51011
Georgia,Wilkinson County,13319
Virginia,Rappahannock County,51157
Georgia,Putnam County,13237
Colorado,Custer County,8027
Michigan,Oscoda County,26135
Georgia,Jenkins County,13165
Texas,Knox County,48275
Kansas,Chase County,20017
Kansas,Trego County,20195
Texas,Baylor County,48023
Texas,Dickens County,48125
Alaska,Wrangell City and Borough,2275
North Dakota,Griggs County,38039
Nebraska,Brown County,31017
Georgia,Cook County,13075
Nebraska,Kimball County,31105
Virginia,Culpeper County,51047
Georgia,Crawford County,13079
Alaska,Yakutat City and Borough,2282
Texas,Marion County,48315
Nebraska,Wheeler County,31183
North Carolina,Chowan County,37041
Kansas,Wichita County,20203
Georgia,Jasper County,13159
West Virginia,Gilmer County,54021
Nebraska,Dawes County,31045
Oklahoma,Coal County,40029
Nebraska,Keya Paha County,31103
Texas,Lipscomb County,48295
Nebraska,Sheridan County,31161
Georgia,Towns County,13281
Virginia,Lancaster County,51103
Virginia,Sussex County,51183
Arkansas,Nevada County,5099
Washington,Garfield County,53023
Arkansas,Monroe County,5095
Virginia,Madison County,51113
Michigan,Keweenaw County,26083
Alabama,Perry County,1105
Texas,Hemphill County,48211
Iowa,Pocahontas County,19151
Minnesota,Lake of the Woods County,27077
Virginia,Manassas Park city,51685
Texas,Sutton County,48435
Wyoming,Hot Springs County,56017
Missouri,Scotland County,29199
Colorado,San Juan County,8111
Tennessee,Moore County,47127
Missouri,Knox County,29103
Virginia,Highland County,51091
Texas,San Augustine County,48405
North Dakota,Nelson County,38063
Nebraska,Thomas County,31171
Kansas,Comanche County,20033
Iowa,Osceola County,19143
Kansas,Hamilton County,20075
Kansas,Pawnee County,20145
Nebraska,Grant County,31075
Kansas,Barber County,20007
Louisiana,Cameron Parish,22023
Virginia,Craig County,51045
Alabama,Coosa County,1037
Nebraska,Harlan County,31083
Georgia,Charlton County,13049
Idaho,Clark County,16033
Mississippi,Carroll County,28015
Pennsylvania,Cameron County,42023
Georgia,Irwin County,13155
Colorado,San Miguel County,8113
Nebraska,McPherson County,31117
Nevada,Storey County,32029
Texas,Stephens County,48429
Arkansas,Lee County,5077
Louisiana,Tensas Parish,22107
Virginia,Covington city,51580
Michigan,Luce County,26095
North Dakota,Hettinger County,38041
Kentucky,Nicholas County,21181
Virginia,Galax city,51640
Kansas,Lincoln County,20105
Georgia,Wheeler County,13309
Missouri,Worth County,29227
Kansas,Brown County,20013
Texas,Schleicher County,48413
Virginia,Bland County,51021
Virginia,King William County,51101
Georgia,Camden County,13039
Arkansas,Dallas County,5039
South Dakota,Clay County,46027
Nebraska,Dakota County,31043
Nebraska,Banner County,31007
Kentucky,Trigg County,21221
Nebraska,Arthur County,31005
Georgia,Wilcox County,13315
Nebraska,Garfield County,31071
Kentucky,Fulton County,21075
Idaho,Butte County,16023
Virginia,Cumberland County,51049
Kansas,Atchison County,20005
Wyoming,Johnson County,56019
Illinois,Pope County,17151
Virginia,Greensville County,51081
Montana,Wibaux County,30109
Oregon,Gilliam County,41021
North Carolina,Graham County,37075
Oregon,Wheeler County,41069
Texas,Llano County,48299
Georgia,Tattnall County,13267
West Virginia,Wirt County,54105
Georgia,Johnson County,13167
Texas,Somervell County,48425
Oklahoma,Love County,40085
North Dakota,Steele County,38091
Virginia,Buckingham County,51029
South Dakota,Bennett County,46007
North Carolina,Bladen County,37017
Tennessee,Pickett County,47137
Texas,San Jacinto County,48407
Nebraska,Boyd County,31015
New Mexico,Catron County,35003
Kentucky,Carlisle County,21039
Oklahoma,Alfalfa County,40003
Nebraska,Richardson County,31147
Tennessee,Van Buren County,47175
Texas,Garza County,48169
South Carolina,Calhoun County,45017
Alabama,Clay County,1027
Oklahoma,Greer County,40055
Georgia,Appling County,13001
Kentucky,Owsley County,21189
Georgia,Hart County,13147
Virginia,Fairfax city,51600
Kansas,Sheridan County,20179
Kentucky,Cumberland County,21057
Georgia,Early County,13099
Georgia,Stephens County,13257
North Carolina,Hoke County,37093
Oklahoma,Washita County,40149
Georgia,Liberty County,13179
Nebraska,Franklin County,31061
New York,Hamilton County,36041
Michigan,Montmorency County,26119
Georgia,Screven County,13251
Virginia,Essex County,51057
Iowa,Emmet County,19063
Georgia,Pierce County,13229
Virginia,Franklin city,51620
Texas,Newton County,48351
Oklahoma,Marshall County,40095
North Carolina,Caswell County,37033
Nebraska,Hooker County,31091
Texas,Lampasas County,48281
Texas,Mason County,48319
Idaho,Adams County,16003
Nebraska,Burt County,31021
Colorado,Grand County,8049
Texas,Goliad County,48175
Georgia,Lincoln County,13181
Oklahoma,Grant County,40053
Texas,Dallam County,48111
Texas,Kimble County,48267
Georgia,Turner County,13287
Georgia,Elbert County,13105
Texas,Hall County,48191
Arkansas,Calhoun County,5013
Virginia,Poquoson city,51735
Texas,Kinney County,48271
Georgia,Rabun County,13241
Colorado,Clear Creek County,8019
Oklahoma,Jefferson County,40067
Arkansas,Scott County,5127
Nebraska,Deuel County,31049
Georgia,Jeff Davis County,13161
Kansas,Smith County,20183
South Dakota,Stanley County,46117
Georgia,Miller County,13201
Mississippi,Stone County,28131
Vermont,Grand Isle County,50013
Iowa,Audubon County,19009
Oklahoma,Tillman County,40141
Nebraska,Sioux County,31165
Oklahoma,Major County,40093
North Dakota,Logan County,38047
Georgia,Atkinson County,13003
Oklahoma,Jackson County,40065
Alaska,Aleutians East Borough,2013
Texas,Briscoe County,48045
Kansas,Grant County,20067
Virginia,Colonial Heights city,51570
Kansas,Wallace County,20199
Georgia,Lamar County,13171
Virginia,Martinsville city,51690
North Carolina,Alleghany County,37005
Virginia,Warren County,51187
Oklahoma,Roger Mills County,40129
Arkansas,Perry County,5105
Montana,Deer Lodge County,30023
Kansas,Cheyenne County,20023
Nebraska,Box Butte County,31013
North Carolina,Richmond County,37153
Nebraska,Keith County,31101
Texas,Crockett County,48105
Arkansas,Jackson County,5067
Texas,Sherman County,48421
Georgia,Upson County,13293
Kansas,Harper County,20077
Georgia,Telfair County,13271
Texas,Wheeler County,48483
Wyoming,Crook County,56011
Nebraska,Morrill County,31123
Tennessee,Hancock County,47067
Texas,Upton County,48461
Texas,Crane County,48103
Kentucky,Simpson County,21213
Colorado,Huerfano County,8055
Iowa,Worth County,19195
Oklahoma,Logan County,40083
North Carolina,Clay County,37043
Tennessee,Decatur County,47039
Michigan,Schoolcraft County,26153
Wyoming,Niobrara County,56027
Nebraska,Nance County,31125
Nebraska,Hitchcock County,31087
South Carolina,Saluda County,45081
Tennessee,Sequatchie County,47153
Colorado,Cheyenne County,8017
West Virginia,Pendleton County,54071
Alaska,Haines Borough,2100
Alaska,Juneau City and Borough,2110
Texas,Reagan County,48383
Nebraska,Sherman County,31163
Georgia,Franklin County,13119
Iowa,Van Buren County,19177
Georgia,Warren County,13301
Georgia,Madison County,13195
Kansas,Ness County,20135
Georgia,Berrien County,13019
Virginia,Bath County,51017
Georgia,Macon County,13193
Colorado,Archuleta County,8007
Missouri,Ralls County,29173
Oklahoma,Harper County,40059
Tennessee,Lewis County,47101
Georgia,Ben Hill County,13017
Georgia,Stewart County,13259
Missouri,Lewis County,29111
Maryland,Talbot County,24041
Nebraska,Valley County,31175
Indiana,Blackford County,18009
Oklahoma,Custer County,40039
Georgia,Wayne County,13305
Iowa,Davis County,19051
Virginia,Buena Vista city,51530
Georgia,Butts County,13035
Georgia,Wilkes County,13317
Minnesota,Murray County,27101
Indiana,Ohio County,18115
Arkansas,Woodruff County,5147
Nebraska,Frontier County,31063
Georgia,Grady County,13131
Missouri,Howard County,29089
Georgia,Banks County,13011
Missouri,Putnam County,29171
Minnesota,Traverse County,27155
Oregon,Curry County,41015
Kansas,Sherman County,20181
Minnesota,Norman County,27107
North Dakota,Dunn County,38025
Texas,Martin County,48317
Indiana,Benton County,18007
Kentucky,Todd County,21219
Arkansas,Clark County,5019
North Dakota,Renville County,38075
North Dakota,Mercer County,38057
Montana,Powder River County,30075
West Virginia,Tucker County,54093
Michigan,Baraga County,26013
Iowa,Ringgold County,19159
Texas,Aransas County,48007
Kansas,Kiowa County,20097
Wisconsin,Forest County,55041
South Carolina,Marlboro County,45069
Arkansas,Newton County,5101
Mississippi,Amite County,28005
Georgia,Harris County,13145
Colorado,Ouray County,8091
Virginia,Gloucester County,51073
South Dakota,Hand County,46059
North Carolina,Scotland County,37165
Kentucky,Mason County,21161
Nevada,Churchill County,32001
Georgia,Candler County,13043
Georgia,Heard County,13149
Idaho,Boundary County,16021
New Mexico,Los Alamos County,35028
Missouri,Mercer County,29129
North Carolina,Currituck County,37053
Georgia,Twiggs County,13289
Kansas,Meade County,20119
South Dakota,Lyman County,46085
Maryland,Caroline County,24011
Arkansas,Montgomery County,5097
Virginia,Prince George County,51149
Oklahoma,Blaine County,40011
Texas,Winkler County,48495
Kansas,Kearny County,20093
Montana,Musselshell County,30065
Oklahoma,Beckham County,40009
Texas,Clay County,48077
Virginia,New Kent County,51127
New Mexico,Harding County,35021
Wisconsin,Burnett County,55013
Louisiana,St. Helena Parish,22091
Oklahoma,Noble County,40103
New Mexico,Sierra County,35051
Pennsylvania,Montour County,42093
Mississippi,Benton County,28009
Georgia,Lumpkin County,13187
Kansas,Ottawa County,20143
Mississippi,Yalobusha County,28161
Virginia,Nottoway County,51135
North Carolina,Polk County,37149
Colorado,Lincoln County,8073
Kansas,Wabaunsee County,20197
Nebraska,Pawnee County,31133
Arkansas,Prairie County,5117
Utah,Rich County,49033
Mississippi,Montgomery County,28097
